"";"Taxa";"matched_name2";"confidence";"canonicalName";"kingdom";"phylum";"class";"order";"family";"genus";"species";"rank"
"135";"carex acuta l.";"Carex acuta";97;"Carex acuta";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex acuta";"SPECIES"
"136";"carex flacca schreb.";"Carex flacca";99;"Carex flacca";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex flacca";"SPECIES"
"137";"carex rostrata stokes";"Carex rostrata";97;"Carex rostrata";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex rostrata";"SPECIES"
"138";"dryopteris filix-mas (l.) schott";"Dryopteris filix-mas";99;"Dryopteris filix-mas";"Plantae";"Tracheophyta";"Polypodiopsida";"Polypodiales";"Dryopteridaceae";"Dryopteris";"Dryopteris filix-mas";"SPECIES"
"139";"euonymus europaeus l.";"Euonymus europaeus";99;"Euonymus europaeus";"Plantae";"Tracheophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Euonymus";"Euonymus europaeus";"SPECIES"
"140";"geranium dissectum l.";"Geranium dissectum";99;"Geranium dissectum";"Plantae";"Tracheophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Geranium";"Geranium dissectum";"SPECIES"
"141";"heracleum sphondylium subsp. sphondylium";"Heracleum sphondylium sphondylium";97;"Heracleum sphondylium sphondylium";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Heracleum";"Heracleum sphondylium";"SUBSPECIES"
"142";"hypochaeris radicata l.";"Hypochaeris radicata";99;"Hypochaeris radicata";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Hypochaeris";"Hypochaeris radicata";"SPECIES"
"143";"juncus bufonius l.";"Juncus bufonius";99;"Juncus bufonius";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Juncaceae";"Juncus";"Juncus bufonius";"SPECIES"
"144";"menyanthes trifoliata l.";"Menyanthes trifoliata";99;"Menyanthes trifoliata";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Menyanthaceae";"Menyanthes";"Menyanthes trifoliata";"SPECIES"
"145";"ranunculus flammula l.";"Ranunculus flammula";97;"Ranunculus flammula";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Ranunculus";"Ranunculus flammula";"SPECIES"
"146";"scutellaria galericulata l.";"Scutellaria galericulata";99;"Scutellaria galericulata";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Scutellaria";"Scutellaria galericulata";"SPECIES"
"147";"alliaria petiolata (m.bieb.) cavara & grande";"Alliaria petiolata";99;"Alliaria petiolata";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Alliaria";"Alliaria petiolata";"SPECIES"
"148";"anemonoides ranunculoides (l.) holub";"Anemonoides ranunculoides";98;"Anemonoides ranunculoides";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Anemone";"Anemone ranunculoides";"SPECIES"
"149";"calliergonella cuspidata (hedw.) loeske";"Calliergonella cuspidata";99;"Calliergonella cuspidata";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Pylaisiaceae";"Calliergonella";"Calliergonella cuspidata";"SPECIES"
"150";"carex elata all.";"Carex elata";97;"Carex elata";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex elata";"SPECIES"
"151";"epipactis helleborine (l.) crantz";"Epipactis helleborine";99;"Epipactis helleborine";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Epipactis";"Epipactis helleborine";"SPECIES"
"152";"agrostis gigantea roth";"Agrostis gigantea";99;"Agrostis gigantea";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Agrostis";"Agrostis gigantea";"SPECIES"
"153";"botrychium lunaria (l.) sw.";"Botrychium lunaria";99;"Botrychium lunaria";"Plantae";"Tracheophyta";"Polypodiopsida";"Ophioglossales";"Ophioglossaceae";"Botrychium";"Botrychium lunaria";"SPECIES"
"154";"carex panicea l.";"Carex panicea";97;"Carex panicea";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex panicea";"SPECIES"
"155";"dactylorhiza incarnata (l.) soó";"Dactylorhiza incarnata";99;"Dactylorhiza incarnata";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Dactylorhiza";"Dactylorhiza incarnata";"SPECIES"
"156";"epilobium parviflorum schreb.";"Epilobium parviflorum";97;"Epilobium parviflorum";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Epilobium";"Epilobium parviflorum";"SPECIES"
"157";"impatiens noli-tangere l.";"Impatiens noli-tangere";97;"Impatiens noli-tangere";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Balsaminaceae";"Impatiens";"Impatiens noli-tangere";"SPECIES"
"158";"orchis mascula (l.) l.";"Orchis mascula";97;"Orchis mascula";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Orchidaceae";"Orchis";"Orchis mascula";"SPECIES"
"159";"paris quadrifolia l.";"Paris quadrifolia";99;"Paris quadrifolia";"Plantae";"Tracheophyta";"Liliopsida";"Liliales";"Melanthiaceae";"Paris";"Paris quadrifolia";"SPECIES"
"160";"plantago major l.";"Plantago major";97;"Plantago major";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Plantago";"Plantago major";"SPECIES"
"161";"poa pratensis subsp. pratensis";"Poa pratensis pratensis";97;"Poa pratensis pratensis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Poa";"Poa pratensis";"SUBSPECIES"
"162";"prunella vulgaris l.";"Prunella vulgaris";98;"Prunella vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Prunella";"Prunella vulgaris";"SPECIES"
"163";"prunus avium (l.) l.";"Prunus avium";98;"Prunus avium";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Prunus";"Prunus avium";"SPECIES"
"164";"prunus padus l.";"Prunus padus";97;"Prunus padus";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Prunus";"Prunus padus";"SPECIES"
"165";"trifolium dubium sibth.";"Trifolium dubium";99;"Trifolium dubium";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium dubium";"SPECIES"
"166";"vicia sepium l.";"Vicia sepium";99;"Vicia sepium";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia sepium";"SPECIES"
"167";"viola reichenbachiana jord. ex boreau";"Viola reichenbachiana";97;"Viola reichenbachiana";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Violaceae";"Viola";"Viola reichenbachiana";"SPECIES"
"168";"dryopteris carthusiana (vill.) h.p.fuchs";"Dryopteris carthusiana";99;"Dryopteris carthusiana";"Plantae";"Tracheophyta";"Polypodiopsida";"Polypodiales";"Dryopteridaceae";"Dryopteris";"Dryopteris carthusiana";"SPECIES"
"169";"epilobium montanum l.";"Epilobium montanum";97;"Epilobium montanum";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Epilobium";"Epilobium montanum";"SPECIES"
"170";"epilobium palustre l.";"Epilobium palustre";97;"Epilobium palustre";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Epilobium";"Epilobium palustre";"SPECIES"
"171";"galium uliginosum l.";"Galium uliginosum";97;"Galium uliginosum";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Galium";"Galium uliginosum";"SPECIES"
"172";"geranium molle l.";"Geranium molle";97;"Geranium molle";"Plantae";"Tracheophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Geranium";"Geranium molle";"SPECIES"
"173";"humulus lupulus l.";"Humulus lupulus";97;"Humulus lupulus";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Cannabaceae";"Humulus";"Humulus lupulus";"SPECIES"
"174";"lonicera xylosteum l.";"Lonicera xylosteum";97;"Lonicera xylosteum";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Lonicera";"Lonicera xylosteum";"SPECIES"
"175";"lysimachia punctata l.";"Lysimachia punctata";97;"Lysimachia punctata";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Lysimachia";"Lysimachia punctata";"SPECIES"
"176";"myosotis laxa subsp. caespitosa (schultz) hyl. ex nordh.";"Myosotis laxa caespitosa";97;"Myosotis laxa caespitosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Myosotis";"Myosotis laxa";"SUBSPECIES"
"177";"poa pratensis l.";"Poa pratensis";97;"Poa pratensis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Poa";"Poa pratensis";"SPECIES"
"178";"prunus cerasifera ehrh.";"Prunus cerasifera";98;"Prunus cerasifera";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Prunus";"Prunus cerasifera";"SPECIES"
"179";"ribes nigrum l.";"Ribes nigrum";97;"Ribes nigrum";"Plantae";"Tracheophyta";"Magnoliopsida";"Saxifragales";"Grossulariaceae";"Ribes";"Ribes nigrum";"SPECIES"
"180";"sorbus aucuparia l.";"Sorbus aucuparia";97;"Sorbus aucuparia";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Sorbus";"Sorbus aucuparia";"SPECIES"
"181";"stachys palustris l.";"Stachys palustris";98;"Stachys palustris";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lamiaceae";"Stachys";"Stachys palustris";"SPECIES"
"182";"trollius europaeus l.";"Trollius europaeus";98;"Trollius europaeus";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Trollius";"Trollius europaeus";"SPECIES"
"183";"aesculus hippocastanum l.";"Aesculus hippocastanum";99;"Aesculus hippocastanum";"Plantae";"Tracheophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Aesculus";"Aesculus hippocastanum";"SPECIES"
"184";"carex pendula huds.";"Carex pendula";97;"Carex pendula";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex pendula";"SPECIES"
"185";"cichorium intybus l.";"Cichorium intybus";99;"Cichorium intybus";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Cichorium";"Cichorium intybus";"SPECIES"
"186";"crepis paludosa (l.) moench";"Crepis paludosa";99;"Crepis paludosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Crepis";"Crepis paludosa";"SPECIES"
"187";"gnaphalium uliginosum l.";"Gnaphalium uliginosum";97;"Gnaphalium uliginosum";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Gnaphalium";"Gnaphalium uliginosum";"SPECIES"
"188";"hedera helix l.";"Hedera helix";97;"Hedera helix";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Araliaceae";"Hedera";"Hedera helix";"SPECIES"
"189";"jacobaea vulgaris gaertn.";"Jacobaea vulgaris";97;"Jacobaea vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Jacobaea";"Jacobaea vulgaris";"SPECIES"
"190";"lemna trisulca l.";"Lemna trisulca";99;"Lemna trisulca";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Lemna";"Lemna trisulca";"SPECIES"
"191";"leucanthemum vulgare lam.";"Leucanthemum vulgare";99;"Leucanthemum vulgare";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Leucanthemum";"Leucanthemum vulgare";"SPECIES"
"192";"poa annua l.";"Poa annua";97;"Poa annua";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Poa";"Poa annua";"SPECIES"
"193";"polygonatum multiflorum (l.) all.";"Polygonatum multiflorum";98;"Polygonatum multiflorum";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Polygonatum";"Polygonatum multiflorum";"SPECIES"
"194";"rumex acetosella l.";"Rumex acetosella";97;"Rumex acetosella";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex";"Rumex acetosella";"SPECIES"
"195";"rumex hydrolapathum (scop.) huds.";"Rumex hydrolapathum";97;"Rumex hydrolapathum";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex";"Rumex hydrolapathum";"SPECIES"
"196";"saxifraga granulata l.";"Saxifraga granulata";97;"Saxifraga granulata";"Plantae";"Tracheophyta";"Magnoliopsida";"Saxifragales";"Saxifragaceae";"Saxifraga";"Saxifraga granulata";"SPECIES"
"197";"scrophularia nodosa l.";"Scrophularia nodosa";99;"Scrophularia nodosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Scrophulariaceae";"Scrophularia";"Scrophularia nodosa";"SPECIES"
"198";"stellaria palustris (murray ex ehrh.) hoffm.";"Stellaria palustris";97;"Stellaria palustris";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Stellaria";"Stellaria palustris";"SPECIES"
"199";"tanacetum vulgare l.";"Tanacetum vulgare";99;"Tanacetum vulgare";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Tanacetum";"Tanacetum vulgare";"SPECIES"
"200";"typha angustifolia l.";"Typha angustifolia";97;"Typha angustifolia";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Typhaceae";"Typha";"Typha angustifolia";"SPECIES"
"201";"veronica montana l.";"Veronica montana";97;"Veronica montana";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica montana";"SPECIES"
"202";"veronica serpyllifolia l.";"Veronica serpyllifolia";97;"Veronica serpyllifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica serpyllifolia";"SPECIES"
"203";"vicia hirsuta (l.) gray";"Vicia hirsuta";97;"Vicia hirsuta";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia hirsuta";"SPECIES"
"204";"abies alba mill.";"Abies alba";97;"Abies alba";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Pinaceae";"Abies";"Abies alba";"SPECIES"
"205";"acer campestre l.";"Acer campestre";99;"Acer campestre";"Plantae";"Tracheophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Acer";"Acer campestre";"SPECIES"
"206";"borago officinalis l.";"Borago officinalis";99;"Borago officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Borago";"Borago officinalis";"SPECIES"
"207";"calamagrostis canescens (weber) roth";"Calamagrostis canescens";97;"Calamagrostis canescens";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Calamagrostis";"Calamagrostis canescens";"SPECIES"
"208";"capsella bursa-pastoris (l.) medik.";"Capsella bursa-pastoris";99;"Capsella bursa-pastoris";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Capsella";"Capsella bursa-pastoris";"SPECIES"
"209";"centaurea jacea l.";"Centaurea jacea";99;"Centaurea jacea";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Centaurea";"Centaurea jacea";"SPECIES"
"210";"centaurea scabiosa l.";"Centaurea scabiosa";97;"Centaurea scabiosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Centaurea";"Centaurea scabiosa";"SPECIES"
"211";"chamaenerion angustifolium (l.) scop.";"Chamaenerion angustifolium";97;"Chamaenerion angustifolium";"Plantae";"Tracheophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Chamaenerion";"Chamaenerion angustifolium";"SPECIES"
"212";"convolvulus arvensis l.";"Convolvulus arvensis";99;"Convolvulus arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Convolvulus";"Convolvulus arvensis";"SPECIES"
"213";"dipsacus fullonum l.";"Dipsacus fullonum";97;"Dipsacus fullonum";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Dipsacus";"Dipsacus fullonum";"SPECIES"
"214";"dryopteris dilatata (hoffm.) a.gray";"Dryopteris dilatata";97;"Dryopteris dilatata";"Plantae";"Tracheophyta";"Polypodiopsida";"Polypodiales";"Dryopteridaceae";"Dryopteris";"Dryopteris dilatata";"SPECIES"
"215";"equisetum pratense ehrh.";"Equisetum pratense";99;"Equisetum pratense";"Plantae";"Tracheophyta";"Polypodiopsida";"Equisetales";"Equisetaceae";"Equisetum";"Equisetum pratense";"SPECIES"
"216";"eriophorum angustifolium honck.";"Eriophorum angustifolium";97;"Eriophorum angustifolium";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Eriophorum";"Eriophorum angustifolium";"SPECIES"
"217";"galium verum l.";"Galium verum";99;"Galium verum";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Galium";"Galium verum";"SPECIES"
"218";"geranium pyrenaicum burm.f.";"Geranium pyrenaicum";97;"Geranium pyrenaicum";"Plantae";"Tracheophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Geranium";"Geranium pyrenaicum";"SPECIES"
"219";"glyceria declinata bréb.";"Glyceria declinata";99;"Glyceria declinata";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Glyceria";"Glyceria declinata";"SPECIES"
"220";"heracleum mantegazzianum sommier & levier";"Heracleum mantegazzianum";99;"Heracleum mantegazzianum";"Plantae";"Tracheophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Heracleum";"Heracleum mantegazzianum";"SPECIES"
"221";"hordelymus europaeus (l.) jess. ex harz";"Hordelymus europaeus";97;"Hordelymus europaeus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Hordelymus";"Hordelymus europaeus";"SPECIES"
"222";"hottonia palustris l.";"Hottonia palustris";98;"Hottonia palustris";"Plantae";"Tracheophyta";"Magnoliopsida";"Ericales";"Primulaceae";"Hottonia";"Hottonia palustris";"SPECIES"
"223";"inula helenium l.";"Inula helenium";97;"Inula helenium";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Inula";"Inula helenium";"SPECIES"
"224";"lonicera periclymenum l.";"Lonicera periclymenum";97;"Lonicera periclymenum";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Lonicera";"Lonicera periclymenum";"SPECIES"
"225";"medicago lupulina l.";"Medicago lupulina";99;"Medicago lupulina";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Medicago";"Medicago lupulina";"SPECIES"
"226";"melilotus officinalis (l.) lam.";"Melilotus officinalis";97;"Melilotus officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Melilotus";"Melilotus officinalis";"SPECIES"
"227";"ornithogalum umbellatum l.";"Ornithogalum umbellatum";99;"Ornithogalum umbellatum";"Plantae";"Tracheophyta";"Liliopsida";"Asparagales";"Asparagaceae";"Ornithogalum";"Ornithogalum umbellatum";"SPECIES"
"228";"pinguicula vulgaris l.";"Pinguicula vulgaris";97;"Pinguicula vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Lentibulariaceae";"Pinguicula";"Pinguicula vulgaris";"SPECIES"
"229";"populus tremula l.";"Populus tremula";99;"Populus tremula";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Populus";"Populus tremula";"SPECIES"
"230";"potamogeton berchtoldii fieber";"Potamogeton berchtoldii";99;"Potamogeton berchtoldii";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Potamogetonaceae";"Potamogeton";"Potamogeton berchtoldii";"SPECIES"
"231";"ranunculus auricomus l.";"Ranunculus auricomus";97;"Ranunculus auricomus";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Ranunculus";"Ranunculus auricomus";"SPECIES"
"232";"rhytidiadelphus squarrosus (hedw.) warnst.";"Rhytidiadelphus squarrosus";99;"Rhytidiadelphus squarrosus";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Hylocomiaceae";"Rhytidiadelphus";"Rhytidiadelphus squarrosus";"SPECIES"
"233";"ribes spicatum e.robson";"Ribes spicatum";97;"Ribes spicatum";"Plantae";"Tracheophyta";"Magnoliopsida";"Saxifragales";"Grossulariaceae";"Ribes";"Ribes spicatum";"SPECIES"
"234";"ribes uva-crispa l.";"Ribes uva-crispa";98;"Ribes uva-crispa";"Plantae";"Tracheophyta";"Magnoliopsida";"Saxifragales";"Grossulariaceae";"Ribes";"Ribes uva-crispa";"SPECIES"
"235";"rubus caesius l.";"Rubus caesius";97;"Rubus caesius";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rubus";"Rubus caesius";"SPECIES"
"236";"scorzoneroides autumnalis (l.) moench";"Scorzoneroides autumnalis";99;"Scorzoneroides autumnalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Scorzoneroides";"Scorzoneroides autumnalis";"SPECIES"
"237";"stratiotes aloides l.";"Stratiotes aloides";99;"Stratiotes aloides";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Hydrocharitaceae";"Stratiotes";"Stratiotes aloides";"SPECIES"
"238";"triglochin palustris l.";"Triglochin palustris";98;"Triglochin palustris";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Juncaginaceae";"Triglochin";"Triglochin palustris";"SPECIES"
"239";"verbascum nigrum l.";"Verbascum nigrum";97;"Verbascum nigrum";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Scrophulariaceae";"Verbascum";"Verbascum nigrum";"SPECIES"
"240";"veronica agrestis l.";"Veronica agrestis";97;"Veronica agrestis";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica agrestis";"SPECIES"
"241";"vinca minor l.";"Vinca minor";98;"Vinca minor";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Vinca";"Vinca minor";"SPECIES"
"242";"viola riviniana rchb.";"Viola riviniana";99;"Viola riviniana";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Violaceae";"Viola";"Viola riviniana";"SPECIES"
"243";"abies grandis (douglas ex d.don) lindl.";"Abies grandis";97;"Abies grandis";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Pinaceae";"Abies";"Abies grandis";"SPECIES"
"244";"achillea ptarmica l.";"Achillea ptarmica";98;"Achillea ptarmica";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Achillea";"Achillea ptarmica";"SPECIES"
"245";"agrimonia eupatoria l.";"Agrimonia eupatoria";98;"Agrimonia eupatoria";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Agrimonia";"Agrimonia eupatoria";"SPECIES"
"246";"agrostemma githago l.";"Agrostemma githago";99;"Agrostemma githago";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Agrostemma";"Agrostemma githago";"SPECIES"
"247";"alchemilla xanthochlora rothm.";"Alchemilla xanthochlora";99;"Alchemilla xanthochlora";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Alchemilla";"Alchemilla xanthochlora";"SPECIES"
"248";"alnus incana (l.) moench";"Alnus incana";97;"Alnus incana";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Alnus";"Alnus incana";"SPECIES"
"249";"anemonoides nemorosa (l.) holub";"Anemonoides nemorosa";98;"Anemonoides nemorosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Anemone";"Anemone nemorosa";"SPECIES"
"250";"anisantha sterilis (l.) nevski";"Anisantha sterilis";98;"Anisantha sterilis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Bromus";"Bromus sterilis";"SPECIES"
"251";"arctium tomentosum mill.";"Arctium tomentosum";99;"Arctium tomentosum";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Arctium";"Arctium tomentosum";"SPECIES"
"252";"athyrium filix-femina (l.) roth";"Athyrium filix-femina";97;"Athyrium filix-femina";"Plantae";"Tracheophyta";"Polypodiopsida";"Polypodiales";"Athyriaceae";"Athyrium";"Athyrium filix-femina";"SPECIES"
"253";"betula pubescens ehrh.";"Betula pubescens";99;"Betula pubescens";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Betula";"Betula pubescens";"SPECIES"
"254";"blysmus compressus (l.) panz. ex link";"Blysmus compressus";97;"Blysmus compressus";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Blysmus";"Blysmus compressus";"SPECIES"
"255";"brachypodium sylvaticum (huds.) p.beauv.";"Brachypodium sylvaticum";99;"Brachypodium sylvaticum";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Brachypodium";"Brachypodium sylvaticum";"SPECIES"
"256";"briza media l.";"Briza media";99;"Briza media";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Poaceae";"Briza";"Briza media";"SPECIES"
"257";"calystegia sepium (l.) r.br.";"Calystegia sepium";98;"Calystegia sepium";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Calystegia";"Calystegia sepium";"SPECIES"
"258";"carex divulsa stokes";"Carex divulsa";97;"Carex divulsa";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex divulsa";"SPECIES"
"259";"carex lepidocarpa tausch";"Carex lepidocarpa";99;"Carex lepidocarpa";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex lepidocarpa";"SPECIES"
"260";"carex paniculata l.";"Carex paniculata";98;"Carex paniculata";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex paniculata";"SPECIES"
"261";"carex riparia curtis";"Carex riparia";97;"Carex riparia";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Carex";"Carex riparia";"SPECIES"
"262";"carpinus betulus l.";"Carpinus betulus";98;"Carpinus betulus";"Plantae";"Tracheophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Carpinus";"Carpinus betulus";"SPECIES"
"263";"chenopodium album var. album";"Chenopodium album album";97;"Chenopodium album album";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Chenopodium";"Chenopodium album";"VARIETY"
"264";"echium vulgare l.";"Echium vulgare";97;"Echium vulgare";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Echium";"Echium vulgare";"SPECIES"
"265";"eleocharis uniglumis (link) schult.";"Eleocharis uniglumis";99;"Eleocharis uniglumis";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Eleocharis";"Eleocharis uniglumis";"SPECIES"
